AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
0	0	0	0	0	0	0	0	0	0	
	1	1				1			1	
1	2	1				1	1		2	
2	2	2				2	2		2	
2	3	3				3	2		3	
3	4	3				3	3		4	
4	4	4				4	4		4	
5	5	4				5	5		4	
5	6	4	1			6	5		5	
6	6	4	2	1		6	5		6	
7	7	4	2	2		7	5		6	
7	8	4	3	2		8	5		7	
8	8	4	4	3		8	5		8	
9	8	4	5	3		9	5		9	
9	8	4	6	4		10	5		10	
9	9	4	7	4		11	5		11	
9	10	4	8	4		11	6		12	
9	11	4	9	4		12	7		12	
9	12	4	10	4		13	7		13	
9	13	4	10	4		14	8		14	
9	13	4	11	4		15	9		15	
9	14	4	12	4		15	10		16	
10	14	4	13	4		16	10		17	
11	15	4	13	4		17	11		17	
11	16	4	14	4		17	12		18	
12	16	4	15	4		18	12		19	
13	17	4	15	4		19	13		19	
13	18	4	16	4		19	14		20	
14	19	4	16	5		20	14		20	
15	19	4	16	5		21	15		21	
15	20	4	16	6		21	16		22	
16	21	4	16	7		22	16		22	
17	21	4	16	7		23	17		23	
17	22	4	16	8		23	18		24	
17	23	4	16	9		24	19		24	
17	24	4	16	9		25	20		25	
17	25	4	16	10		26	20		26	
18	25	4	16	11		27	20		27	
19	26	4	16	11		28	20		28	
19	27	4	17	12		28	20		29	
20	27	4	18	13		29	20		29	
21	28	4	18	13		30	20		30	
22	29	4	19	13		30	20		31	
22	30	4	19	14		31	20		32	
23	31	4	19	14		32	20		33	
24	31	4	19	15		33	20		34	
24	32	4	19	16		34	20		35	
25	33	4	19	16		35	20		36	
26	34	4	19	17		36	20		36	
26	35	4	19	18		37	20		37	
26	36	4	19	19		38	20		38	
26	36	4	20	20		39	21		38	
26	37	4	21	20		39	22		39	
26	38	4	21	21		40	22		40	
26	39	4	22	21		41	23		40	
26	39	4	23	21		42	24		41	
26	40	4	24	21		42	25		42	
26	41	4	24	21		43	25	1	43	
26	41	5	25	21	1	43	26	1	43	
26	42	5	25	21	1	44	26	2	44	
26	42	6	25	21	2	44	26	3	45	
26	43	6	26	21	2	45	27	3	45	
26	44	6	26	21	3	46	27	4	45	
26	44	7	27	21	3	46	28	4	46	
26	45	7	27	21	4	47	28	4	47	
26	45	8	28	21	4	47	29	5	47	
26	46	8	28	21	5	48	29	5	48	
26	46	9	29	21	5	48	30	6	48	
26	46	10	29	21	6	48	30	7	49	
26	47	10	30	21	6	49	31	7	49	
27	48	10	31	21	6	49	31	7	50	
28	49	10	32	21	6	49	31	7	51	
29	50	10	33	21	6	49	31	7	52	
30	51	10	34	21	6	49	31	7	53	
31	52	10	35	21	6	49	31	7	54	
32	53	10	36	21	6	49	31	7	55	
33	53	10	36	21	6	50	32	7	56	
34	53	10	37	21	6	51	32	7	57	
34	53	10	38	21	6	52	33	7	58	
35	53	10	39	21	6	52	34	7	59	
36	53	10	40	21	6	53	35	7	59	
37	53	10	40	21	6	54	36	7	60	
38	53	10	40	21	6	55	37	7	61	
38	53	11	41	21	6	56	38	7	61	
39	53	11	42	21	6	57	39	7	61	
40	53	12	42	21	6	58	40	7	61	
41	53	13	42	21	6	59	41	7	61	
42	53	14	42	21	6	60	42	7	61	
43	53	15	42	21	6	61	43	7	61	
44	53	16	42	21	6	62	44	7	61	
45	54	16	42	21	6	63	44	7	62	
46	55	16	42	21	6	64	44	7	63	
47	56	16	42	21	6	65	44	7	64	
48	57	16	42	21	6	66	44	7	65	
49	58	16	42	21	6	67	44	7	66	
50	59	16	42	21	6	68	44	7	67	
51	60	16	42	21	7	69	44	7	67	
51	60	16	42	21	8	70	45	7	68	
52	61	16	42	21	8	70	46	7	69	
52	62	16	42	21	9	71	46	7	70	
53	62	16	42	21	10	72	47	7	70	
54	63	16	42	21	10	72	48	7	71	
54	64	16	42	21	11	73	48	7	72	
54	65	16	42	22	11	74	48	7	73	
54	66	16	42	23	11	75	48	7	74	
54	66	16	42	24	11	76	49	7	75	
54	67	16	42	24	11	77	50	7	76	
54	68	16	42	25	11	78	51	7	76	
54	69	16	42	26	11	78	52	7	77	
54	70	16	42	26	11	79	53	7	78	
